,PC,Address,Recency,Frequency
0,0xb7fab420,0xbf88aec4,53,79
1,0xb7fab423,0xbf88aec0,44,77
2,0xb7fab424,0xbf88aebc,52,75
3,0xb7fab425,0xbf88aeb8,45,73
4,0xb7fab426,0xbf88aeb4,897,1
5,0xb7fab437,0xbf88ae9c,67,66
6,0xb7fab43a,0xb7fc3f1c,2,63
7,0xb7fab446,0xb7fc46c4,0,180505
8,0xb7fab45c,0xb7fc3e54,0,180505
9,0xb7fab462,0xbf88aea0,38,60
10,0xb7fab469,0xbf88aea4,45,148
11,0xb7fab470,0xbf88ae38,38,1
12,0xb7fab47c,0xbf88ae1c,155,53
13,0xb7fbd060,0xbf88ae18,129,51
14,0xb7fbd063,0xbf88ae14,99,49
15,0xb7fbd068,0xbf88b2b4,7,103269
16,0xb7fbd070,0xbf88cb38,6,103272
17,0xb7fbd075,0xbf88b2b8,6,103272
18,0xb7fbd070,0xbf88cb43,6,103273
19,0xb7fbd075,0xbf88b2bc,6,103273
20,0xb7fbd070,0xbf88cb53,6,103274
21,0xb7fbd075,0xbf88b2c0,6,103274
22,0xb7fbd070,0xbf88cb74,6,103275
23,0xb7fbd075,0xbf88b2c4,6,103275
24,0xb7fbd070,0xbf88cba1,6,103276
25,0xb7fbd075,0xbf88b2c8,6,103276
26,0xb7fbd070,0xbf88cbb4,6,103277
27,0xb7fbd075,0xbf88b2cc,6,103277
28,0xb7fbd070,0xbf88cbbd,6,103278
29,0xb7fbd086,0xbf88cbbe,1,178835
30,0xb7fbd075,0xbf88b2d0,6,103277
31,0xb7fbd070,0xbf88ce38,6,103278
32,0xb7fbd075,0xbf88b2d4,6,103278
33,0xb7fbd070,0xbf88ce4b,6,103279
34,0xb7fbd075,0xbf88b2d8,6,103279
35,0xb7fbd070,0xbf88cec0,6,103280
36,0xb7fbd075,0xbf88b2dc,6,103280
37,0xb7fbd070,0xbf88cef2,6,103281
38,0xb7fbd075,0xbf88b2e0,6,103281
39,0xb7fbd070,0xbf88cefd,6,103282
40,0xb7fbd086,0xbf88cefe,1,178936
41,0xb7fbd075,0xbf88b2e4,6,103281
42,0xb7fbd070,0xbf88cf0e,6,103282
43,0xb7fbd075,0xbf88b2e8,6,103282
44,0xb7fbd070,0xbf88cf16,6,103283
45,0xb7fbd075,0xbf88b2ec,6,103283
46,0xb7fbd070,0xbf88cf25,6,103284
47,0xb7fbd086,0xbf88cf26,1,178997
48,0xb7fbd075,0xbf88b2f0,6,103283
49,0xb7fbd070,0xbf88cf31,6,103284
50,0xb7fbd086,0xbf88cf32,1,179018
51,0xb7fbd075,0xbf88b2f4,6,103283
52,0xb7fbd070,0xbf88cf3d,6,103284
53,0xb7fbd075,0xbf88b2f8,6,103284
54,0xb7fbd070,0xbf88cf71,6,103285
55,0xb7fbd086,0xbf88cf72,1,179059
56,0xb7fbd075,0xbf88b2fc,6,103284
57,0xb7fbd070,0xbf88cf91,6,103285
